"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome"
39,"unemployed","single","secondary","no",356,"yes","no","unknown",30,"may",462,2,-1,0,"unknown"
46,"management","single","tertiary","yes",-344,"no","no","cellular",8,"aug",142,4,-1,0,"unknown"
35,"management","single","tertiary","no",560,"yes","no","unknown",6,"may",181,1,-1,0,"unknown"
27,"services","married","secondary","no",0,"yes","no","unknown",15,"may",312,6,-1,0,"unknown"
56,"technician","married","secondary","no",2558,"no","no","unknown",19,"jun",288,1,-1,0,"unknown"
20,"student","single","secondary","no",1191,"no","no","cellular",28,"sep",500,2,228,1,"failure"
34,"services","single","tertiary","no",239,"no","no","cellular",28,"jan",699,2,-1,0,"unknown"
44,"admin.","married","secondary","no",429,"yes","no","cellular",28,"jan",99,1,246,4,"failure"
34,"admin.","married","secondary","no",384,"yes","no","cellular",14,"may",551,2,-1,0,"unknown"
46,"housemaid","married","secondary","no",1000,"no","no","cellular",18,"aug",96,11,-1,0,"unknown"
47,"unemployed","single","primary","no",7351,"no","no","cellular",4,"feb",1060,3,-1,0,"unknown"
47,"retired","married","secondary","no",-71,"yes","no","cellular",11,"aug",293,5,-1,0,"unknown"
40,"blue-collar","married","secondary","no",563,"yes","no","unknown",7,"may",615,1,-1,0,"unknown"
28,"blue-collar","single","primary","no",2340,"yes","no","unknown",19,"jun",399,1,-1,0,"unknown"
34,"blue-collar","married","primary","no",3,"yes","no","cellular",13,"may",369,2,-1,0,"unknown"
40,"retired","married","primary","no",630,"yes","no","cellular",23,"jul",177,2,-1,0,"unknown"
37,"management","married","tertiary","no",1330,"yes","no","cellular",29,"jan",41,2,261,1,"failure"
39,"blue-collar","married","secondary","no",276,"no","no","cellular",9,"jun",334,2,-1,0,"unknown"
39,"services","married","secondary","no",124,"yes","no","cellular",31,"jul",81,5,-1,0,"unknown"
65,"management","married","tertiary","no",1097,"no","no","cellular",12,"jan",131,1,196,1,"other"
31,"admin.","married","secondary","no",0,"yes","yes","unknown",6,"may",144,2,-1,0,"unknown"
56,"retired","married","primary","no",-299,"yes","no","unknown",28,"may",68,1,-1,0,"unknown"
