"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
58,"blue-collar","divorced","secondary","no",644,"no","yes","cellular",17,"nov",220,4,109,4,"failure","no"
52,"admin.","married","primary","no",208,"yes","no","cellular",17,"apr",377,2,-1,0,"unknown","no"
34,"technician","married","secondary","no",1641,"yes","no","cellular",17,"apr",380,1,-1,0,"unknown","no"
57,"services","married","secondary","no",1433,"no","no","telephone",21,"nov",41,1,-1,0,"unknown","no"
57,"technician","married","tertiary","no",2887,"yes","no","cellular",11,"feb",123,1,-1,0,"unknown","no"
49,"management","married","tertiary","no",470,"no","no","cellular",18,"nov",79,1,-1,0,"unknown","no"
37,"services","single","secondary","no",459,"no","no","telephone",16,"jul",61,14,-1,0,"unknown","no"
33,"blue-collar","single","secondary","no",-320,"no","no","cellular",18,"may",268,2,-1,0,"unknown","no"
31,"blue-collar","married","secondary","no",2289,"yes","yes","cellular",20,"apr",79,1,151,1,"failure","no"
58,"technician","married","tertiary","no",12322,"no","no","telephone",2,"jun",306,2,-1,0,"unknown","no"
61,"retired","divorced","secondary","no",4243,"no","no","cellular",30,"apr",315,1,182,2,"success","yes"
47,"management","married","unknown","no",4189,"yes","no","cellular",19,"nov",489,3,-1,0,"unknown","yes"
31,"self-employed","single","tertiary","no",2589,"no","no","cellular",21,"nov",614,1,-1,0,"unknown","yes"
58,"retired","single","secondary","no",-158,"yes","no","cellular",5,"feb",55,1,8,1,"other","no"
47,"admin.","married","secondary","no",3070,"no","no","cellular",7,"aug",663,4,-1,0,"unknown","yes"
40,"self-employed","married","tertiary","no",13669,"no","no","cellular",14,"apr",255,7,-1,0,"unknown","no"
52,"services","married","secondary","no",91,"yes","no","unknown",5,"jun",175,4,-1,0,"unknown","no"
41,"technician","married","tertiary","no",139,"no","no","cellular",18,"aug",781,2,-1,0,"unknown","no"
50,"blue-collar","married","secondary","no",1984,"yes","no","telephone",18,"nov",212,3,-1,0,"unknown","no"
56,"unemployed","married","secondary","no",1340,"no","yes","telephone",30,"jul",197,6,-1,0,"unknown","no"
25,"services","single","secondary","no",-41,"no","yes","cellular",14,"jul",114,2,-1,0,"unknown","no"
32,"management","single","tertiary","no",146,"no","no","cellular",19,"aug",162,2,-1,0,"unknown","no"
32,"technician","married","secondary","no",175,"yes","no","unknown",13,"may",142,1,-1,0,"unknown","no"
27,"blue-collar","single","secondary","no",228,"no","no","cellular",9,"jul",799,6,-1,0,"unknown","no"
31,"management","single","tertiary","no",3295,"no","no","cellular",2,"feb",845,2,-1,0,"unknown","no"
43,"blue-collar","single","secondary","no",747,"no","no","unknown",29,"may",685,2,-1,0,"unknown","no"
25,"services","single","secondary","no",3856,"yes","no","unknown",20,"jun",16,28,-1,0,"unknown","no"
34,"blue-collar","single","secondary","no",128,"yes","no","unknown",23,"may",114,4,-1,0,"unknown","no"
25,"admin.","single","secondary","no",-213,"no","yes","cellular",16,"jul",592,1,-1,0,"unknown","no"
26,"technician","single","tertiary","no",152,"no","no","cellular",30,"jan",151,2,2,1,"other","no"
60,"housemaid","divorced","secondary","no",2063,"no","no","cellular",27,"may",95,1,99,2,"failure","no"
28,"technician","single","tertiary","no",959,"yes","no","cellular",29,"jan",330,2,-1,0,"unknown","no"
38,"blue-collar","married","secondary","no",-210,"yes","no","unknown",8,"may",21,1,-1,0,"unknown","no"
47,"blue-collar","married","secondary","no",-216,"yes","no","cellular",6,"may",197,1,282,3,"failure","no"
40,"management","married","tertiary","no",66,"no","no","cellular",13,"aug",737,4,-1,0,"unknown","yes"
37,"admin.","married","secondary","no",66,"yes","no","unknown",14,"may",91,7,-1,0,"unknown","no"
32,"blue-collar","single","secondary","no",2137,"no","no","cellular",13,"may",423,1,349,1,"failure","no"
51,"management","married","tertiary","no",5108,"yes","no","cellular",8,"oct",272,1,102,8,"other","no"
55,"blue-collar","married","unknown","no",728,"yes","no","cellular",25,"jul",130,2,-1,0,"unknown","no"
48,"services","divorced","secondary","no",3186,"no","yes","cellular",9,"apr",104,1,-1,0,"unknown","no"
41,"blue-collar","single","secondary","no",304,"yes","no","unknown",30,"may",395,2,-1,0,"unknown","no"
31,"management","single","tertiary","no",4509,"yes","no","unknown",12,"may",207,3,-1,0,"unknown","no"
34,"management","single","tertiary","no",886,"yes","no","cellular",21,"aug",104,2,-1,0,"unknown","no"
56,"retired","divorced","secondary","no",-663,"yes","no","unknown",27,"may",243,2,-1,0,"unknown","no"
39,"technician","married","primary","no",2118,"yes","no","cellular",17,"apr",266,2,-1,0,"unknown","no"
32,"technician","single","secondary","no",-398,"no","yes","cellular",7,"jul",387,2,-1,0,"unknown","no"
45,"admin.","divorced","secondary","no",8032,"no","no","cellular",20,"nov",73,1,-1,0,"unknown","no"
42,"blue-collar","married","primary","no",199,"yes","no","cellular",2,"feb",272,1,-1,0,"unknown","no"
37,"management","married","tertiary","no",-1884,"yes","no","cellular",21,"jul",193,1,-1,0,"unknown","no"
58,"retired","married","primary","no",235,"yes","no","unknown",5,"may",167,1,-1,0,"unknown","no"
40,"services","divorced","secondary","no",687,"yes","no","cellular",2,"feb",531,1,208,1,"success","yes"
51,"blue-collar","married","primary","no",-27,"no","no","telephone",29,"aug",158,4,-1,0,"unknown","no"
41,"blue-collar","married","secondary","no",140,"yes","no","cellular",3,"jun",96,1,125,2,"failure","no"
35,"blue-collar","married","secondary","no",0,"yes","yes","unknown",29,"may",543,1,-1,0,"unknown","yes"
24,"technician","single","secondary","no",135,"yes","yes","cellular",18,"may",250,1,-1,0,"unknown","no"
41,"management","married","tertiary","no",666,"yes","no","unknown",21,"may",253,3,-1,0,"unknown","no"
33,"technician","divorced","tertiary","no",2558,"no","no","cellular",7,"may",680,2,367,2,"failure","no"
52,"admin.","married","secondary","no",2347,"no","yes","cellular",12,"aug",603,3,-1,0,"unknown","no"
45,"services","married","secondary","no",3638,"yes","yes","unknown",3,"jun",313,7,-1,0,"unknown","no"
40,"admin.","married","secondary","no",2082,"no","no","unknown",12,"jun",82,1,-1,0,"unknown","no"
57,"retired","married","primary","no",0,"no","no","cellular",20,"aug",340,4,-1,0,"unknown","no"
36,"blue-collar","married","primary","no",409,"yes","no","unknown",11,"jun",81,3,-1,0,"unknown","no"
39,"services","married","secondary","no",3294,"no","yes","cellular",20,"nov",116,1,-1,0,"unknown","no"
34,"management","married","tertiary","no",273,"yes","no","cellular",14,"may",492,1,175,2,"failure","yes"
54,"technician","divorced","secondary","no",2156,"yes","no","cellular",30,"apr",258,1,86,5,"success","yes"
33,"student","single","secondary","no",1883,"yes","no","cellular",3,"feb",121,5,256,1,"failure","no"
31,"blue-collar","single","secondary","no",-571,"yes","no","cellular",28,"jul",68,3,-1,0,"unknown","no"
28,"student","single","secondary","no",1377,"yes","no","cellular",14,"may",688,2,-1,0,"unknown","yes"
34,"blue-collar","married","secondary","no",1089,"yes","no","cellular",13,"may",394,3,-1,0,"unknown","yes"
